1	Orbital ATK	51-4011,51-4012	orbital_avatar.png	S Freeport Industrial Pkwy	Clearfield	UT	84015	careers@OrbitalATK.com	https://www.orbitalatk.com/about/company-overview/
2	Petersen Inc	51-4011,51-4012	peterson_avatar.jpg	1527 N 2000 W	Ogden	UT	84404	HR@peterseninc.com	https://www.peterseninc.com/mission-vision/
3	Lifetime Products	51-4011	lifetime_avatar.png	Building D12, S Freeport Industrial Pkwy	Clearfield	UT	84016	CustomerCare@lifetime.com 	https://www.lifetime.com/company/employment
4	Barnes Group	51-4011,51-4012,51-4041,51-4121,49-9041,17-3021	barnes_avatar.jpg	1025 Depot Dr	Ogden	UT	84404	bgicareers@bginc.com	http://www.barnesgroupinc.com/about-bgi/company-values.aspx
5	IM Flash	17-3023,17-3024	im_avatar.jpg	4000 N Flash Dr	Lehi	UT	84043		http://www.imflash.com/careers
6	Merit Medical	51-2092,17-3029	merit_avatar.png	1600 Merit Pkwy	South Jordan	UT	84095	recruiting@merit.com	https://www.merit.com/careers/
7	BD	17-3024,49-9021,49-9071,51-4011,51-4012	bg_avatar.png	9450 State St	Sandy	UT	84070		http://www.bd.com/en-us/company
8	Edwards Lifesciences	51-2092	edwards_avatar.png	12050 Lone Peak Pkwy	Draper	UT	84020		http://www.edwards.com/aboutus/OurHistory
9	Nestle	17-3027,17-3029	nestle_avatar.png	815 Raymond Klauck Way	Springville	UT	84663		http://www.nestleusa.com/about-us
10	1-800-Contacts	15-1134,15-1141,15-1151	contacts_avatar.png	261 Data Dr	Draper	UT	84020		https://www.1800contacts.com/the-company.html
11	Cummins	17-3027,17-3029,49-3031	cummins_avatar.jpg	2167 S 5370 W	West Valley City	UT	84120		http://careers.cummins.com/us-canada/working-right/career-development
12	Autoliv	15-1142,15-1143,15-1152,15-1134	autoliv_avatar.png	3350 Airport Rd	Ogden	UT	84405		https://www.autoliv.com//AboutUs/Pages/InBrief/default.aspx
13	IHC	29-1141,29-2041,29-2034,29-2052,29-2057,29-2055,29-1126,29-2061,29-2071,15-1134	ihc_avatar.png	36 S State St, Fl 22	Salt Lake City	UT	84111	recruitment@imail.org	https://intermountainhealthcare.org/careers/explore-careers/
14	ARUP	29-2012,29-2011,15-1134	arup_avatar.png	500 Chipeta Way	Salt Lake City	UT	84108	hr@aruplab.com	http://www.aruplab.com/
15	U of U Hospital	47-2031,47-2111,15-1151,29-1141,29-2041,29-2052,29-2053,29-2031,29-2061	uofu_avatar.png	50 N Medical Dr	Salt Lake City	UT	84112		https://healthcare.utah.edu/about/
16	Revere Health	29-2035,29-2032,29-2071,29-2057,29-2034	revere_avatar.png	1055 N 500 W	Provo	UT	84604		http://reverehealth.com/about/
17	HCA Mountainstar	29-1141,29-2011,29-2012,29-2032,29-2034,29-2035,29-2052,29-2053,29-2055,29-2061,29-2071,29-1141	mountain_star.png	6985 S Union Park Center #500	Cottonwood Heights	UT	84047		http://mountainstar.com/careers/search.dot
18	Rio Tinto	17-3029,49-9041	riotinto_avatar.png	4700 Daybreak Parkway	South Jordan	UT	84095		http://www.riotinto.com/careers/why-join-rio-tinto-3178.aspx
19	WW Clyde	17-3029	wwclyde.png	869 N 1500 W	Orem	UT	84057		https://wwclyde.net/our-story/company/
20	Hunt Electric	17-3023,47-2111,15-1142,17-3029	hunt_avatar.jpg	1863 W Alexander Street	Salt Lake City	UT	84119		https://www.huntelectric.com/careers
21	Cache Valley Electric	51-2092,17-3029	cache_avatar.png	1414 Gustin Rd W	Salt Lake City	UT	84104		http://www.cve.com/about-cve/
22	Wheeler Machinery	49-3023,49-3041,49-9041,51-4041	wheeler_avatar.jpg	4901 2100 S	Salt Lake City	UT	84120		http://careers.wheelercat.com/
23	Dominion Energy	17-3023	dominion_avatar.jpg	333 S State St	Salt Lake City	UT	84111		https://www.dominionenergy.com/careers
24	Vivint Solar	17-3023,47-2111,17-3029	vivint_avatar.jpg	1800 Ashton Blvd	Lehi	UT	84043	help@vivintsolar.com	https://www.vivintsolar.com/careers
25	Auric Solar	47-2111	auric_avatar.png	2310 S 1300 W	West Valley City	UT	84119		https://www.auricsolar.com/careers
26	Sorenson Communications	15-1134,15-1141,15-1142,15-1143,15-1151,15-1152	sorenson_avatar.jpg	192 s Riverboat Rd	Salt Lake City	UT	84123		http://www.sorenson.com/jobs
27	Alorica	15-1151	alorica_avatar.png	 8285 W 3500 S	Magna	UT	84044		https://www.alorica.com/careers/
28	Hexcel	17-3021,29-2012,47-2111,49-9044,51-2092	hexcel_avatar.png	6700 W 5400 S	West Valley City	UT	84118		http://hexcel.com/Careers/
29	Albany	17-3021,51-4011,51-4012,51-2092	albany_avatar.png	5995 W Amelia Earhart Dr	Salt Lake City	UT	84116		http://www.albint.com/en-us/company/Pages/Careers.aspx
30	Nammo - Composite	17-3021,51-2092	namno_avatar.jpg	1000 S 500 W	Salt Lake City	UT	84101		http://www.nammo-cs.com/our-company/what-we-do
31	Boeing	49-9041,49-9071	boeing_avatar.jpg	1215 2200 W	Salt Lake City	UT	84116		http://www.boeing.com/careers/
32	L-3	17-3023,51-4012,51-2092	l3_avatar.JPG	640 2200 W	Salt Lake City	UT	84116		http://www2.l3t.com/csw/
33	ENVE	17-3027,17-3029,51-2092	enve_avatar.png	508 W. Stockman Way	Ogden	UT	84401		https://enve.com/company/careers/
34	Campbell Scientific	17-3023	campbell_avatar.jpg	815 W 1800 N 	Logan	UT	84321		https://www.campbellsci.com/careers
35	Andeavor(Tesoro)	17-3023	andeavor.jpg	474 W 900 N	Salt Lake City	UT	84103		http://www.andeavor.com/careers/
36	BioFire	49-9021,17-3029,49-9071,51-2092,29-2011,17-3027	biofire_avatar.jpg	515 Colorow Dr	Salt Lake City	UT	84108		http://www.biofiredx.com/company/career/
37	Burt Brothers	49-3023	burtbrothers_avatar.png	944 E 2100 S	Salt Lake City	UT	84106		https://burtbrothers.com/company
38	Jiffy Lube	49-3023	jiffylube_avatar.jpg	757 W North Temple	Salt Lake City	UT	84116		https://www.jiffylube.com/careers
39	Parker Hannifin	51-2092,17-3021	parker_avatar.jpg	2220 3600 W	West Valley City	UT	84119		http://www.parker.com/portal/site/PARKER/menuitem.e631b67dc0285c0566b049e1237ad1ca/?vgnextoid=243880961f66e010VgnVCM1000000308a8c0RCRD&vgnextfmt=default
