SOC Detailed Name	SOC Major ID	SOC Major Name	SOC Major Lay Title	SOC Detailed ID	SOC Detailed Name	media search assn	image file	Video
Web Developers	15	Computer and Mathematical	Information Technology	15-1134	Web Developers	jake	web_developer.jpg	https://www.youtube.com/watch?v=sBzRwzY7G-k
Database Administrators	15	Computer and Mathematical	Information Technology	15-1141	Database Administrators	jake	dba.jpg	https://www.youtube.com/watch?v=Fp2DPhLM8Kw
Network and Computer Systems Administrators	15	Computer and Mathematical	Information Technology	15-1142	Network and Computer Systems Administrators	jake	network_admin.jpg	https://www.youtube.com/watch?v=_62EifFcbp4
Computer Network Architects	15	Computer and Mathematical	Information Technology	15-1143	Computer Network Architects	jake	network_arch.jpg	https://www.youtube.com/watch?v=dF15mCH0Eqo
Computer User Support Specialists	15	Computer and Mathematical	Information Technology	15-1151	Computer User Support Specialists	jake	computer_support.jpg	https://www.youtube.com/watch?v=8h6UU2eZtAo
Computer Network Support Specialists	15	Computer and Mathematical	Information Technology	15-1152	Computer Network Support Specialists	jake	network_support.jpg	https://www.youtube.com/watch?v=PCXANYO63Jw
Aerospace Engineering and Operations Technicians	17	Architecture and Engineering	Engineering	17-3021	Aerospace Engineering and Operations Technicians	jake	aerospace_tech.jpg	https://www.youtube.com/watch?v=TOR8YkahSfY
Civil Engineering Technicians	17	Architecture and Engineering	Engineering	17-3022	Civil Engineering Technicians	jake	civil_tech.jpg	https://www.youtube.com/watch?v=jt2ZbPrszFg
Electrical and Electronics Engineering Technicians 	17	Architecture and Engineering	Engineering	17-3023	Electrical and Electronics Engineering Technicians	jake	electronics_tech.jpg	https://www.youtube.com/watch?v=Wb3p68-UrtA
Electro-Mechanical Technicians	17	Architecture and Engineering	Engineering	17-3024	Electro-Mechanical Technicians	jake	electro_tech.jpg	https://www.youtube.com/watch?v=w-O2uHH7HVQ
Environmental Engineering Technicians	17	Architecture and Engineering	Engineering	17-3025	Environmental Engineering Technicians	jake	env_tech.jpg	https://www.youtube.com/watch?v=FJVvEEAqBQA
Industrial Engineering Technicians	17	Architecture and Engineering	Engineering	17-3026	Industrial Engineering Technicians	jake	industrial_tech.jpg	https://www.youtube.com/watch?v=bCvQt3w-U4I
Mechanical Engineering Technicians	17	Architecture and Engineering	Engineering	17-3027	Mechanical Engineering Technicians	jake	mech_tech.jpg	https://www.youtube.com/watch?v=rt-HAx0qxaQ
Engineering Technicians, Except Drafters, All Other	17	Architecture and Engineering	Engineering	17-3029	Engineering Technicians, Except Drafters, All Other	jake	eng_tech.jpg	https://www.youtube.com/watch?v=4v6zxdzda2Y
Radiation Therapists	29	Healthcare Practitioners and Technical	Health Care	29-1124	Radiation Therapists	jake	radiation.jpg	https://www.youtube.com/watch?v=EraKlnPYZfc
Respiratory Therapists	29	Healthcare Practitioners and Technical	Health Care	29-1126	Respiratory Therapists	jake	respiratory.jpg	https://www.youtube.com/watch?v=EWTUn0dRblk
Registered Nurses	29	Healthcare Practitioners and Technical	Health Care	29-1141	Registered Nurses	jake	rn.jpg	https://www.youtube.com/watch?v=F1WBTPWPN3k
Medical and Clinical Laboratory Technologists	29	Healthcare Practitioners and Technical	Health Care	29-2011	Medical and Clinical Laboratory Technologists	jake	med_tech.jpg	https://www.youtube.com/watch?v=QS97tc_7DqQ
Medical and Clinical Laboratory Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2012	Medical and Clinical Laboratory Technicians	jake	lab_tech.jpg	https://www.youtube.com/watch?v=QS97tc_7DqQ
Dental Hygienists	29	Healthcare Practitioners and Technical	Health Care	29-2021	Dental Hygienists	jake	dental.jpg	https://www.youtube.com/watch?v=ypHT_zW3oI8
Cardiovascular Technologists and Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2031	Cardiovascular Technologists and Technicians	jake	cardio_tech.jpg	https://www.youtube.com/watch?v=2tD_0eLL3H8
Diagnostic Medical Sonographers	29	Healthcare Practitioners and Technical	Health Care	29-2032	Diagnostic Medical Sonographers	jake	sono.jpg	https://www.youtube.com/watch?v=duL-qPCi6bA
Nuclear Medicine Technologists	29	Healthcare Practitioners and Technical	Health Care	29-2033	Nuclear Medicine Technologists	jake	nuclear.jpg	https://www.youtube.com/watch?v=X7CmvdVMXeE
Radiologic Technologists	29	Healthcare Practitioners and Technical	Health Care	29-2034	Radiologic Technologists	jake	radio.jpg	https://www.youtube.com/watch?v=gGkgYrwq-KA
Magnetic Resonance Imaging Technologists	29	Healthcare Practitioners and Technical	Health Care	29-2035	Magnetic Resonance Imaging Technologists	jake	magnetic.jpg	https://www.youtube.com/watch?v=gGkgYrwq-KA
Emergency Medical Technicians and Paramedics	29	Healthcare Practitioners and Technical	Health Care	29-2041	Emergency Medical Technicians and Paramedics	jake	emt.jpg	https://www.youtube.com/watch?v=bUh4BEB3HaI
Pharmacy Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2052	Pharmacy Technicians	jake	pharm_tech.jpg	https://www.youtube.com/watch?v=L_PX_UuMAdU
Psychiatric Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2053	Psychiatric Technicians	jake	psych_tech.jpg	https://www.youtube.com/watch?v=-KaqCSNgQ94
Respiratory Therapy Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2054	Respiratory Therapy Technicians	jake	respiratory_tech.jpg	https://www.youtube.com/watch?v=EWTUn0dRblk
Surgical Technologists	29	Healthcare Practitioners and Technical	Health Care	29-2055	Surgical Technologists	jake	surgical_tech.jpg	https://www.youtube.com/watch?v=vnZxUHpEiU0
Veterinary Technologists and Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2056	Veterinary Technologists and Technicians	jake	vet_tech.jpg	https://www.youtube.com/watch?v=-rBdnfXzZEw
Ophthalmic Medical Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2057	Ophthalmic Medical Technicians	jake	opthal_tech.jpg	https://www.youtube.com/watch?v=yyLY6IDfi98
Licensed Practical and Licensed Vocational Nurses	29	Healthcare Practitioners and Technical	Health Care	29-2061	Licensed Practical and Licensed Vocational Nurses	kirkby	licensed_practical_nurse.jpg	https://www.youtube.com/watch?v=hUfHSe4iayY
Medical Records and Health Information Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2071	Medical Records and Health Information Technicians	kirkby	medical_records_technician.jpg	https://www.youtube.com/watch?v=mEkFuWpRHB8
Opticians, Dispensing	29	Healthcare Practitioners and Technical	Health Care	29-2081	Opticians, Dispensing	kirkby	optician.jpg	https://www.youtube.com/watch?v=_acvi37T51I
Hearing Aid Specialists	29	Healthcare Practitioners and Technical	Health Care	29-2092	Hearing Aid Specialists	kirkby	hearing_aid_specialist.jpg	https://www.youtube.com/watch?v=-qnUiyAKh4M
Boilermakers	47	Construction and Extraction	Skilled Trades	47-2011	Boilermakers	kirkby	boilermaker.jpg	https://www.youtube.com/watch?v=lc1XztTOU_I
Brickmasons and Blockmasons	47	Construction and Extraction	Skilled Trades	47-2021	Brickmasons and Blockmasons	kirkby	blockmason.jpg	https://www.youtube.com/watch?v=vuzhIm1qrEo
Stonemasons	47	Construction and Extraction	Skilled Trades	47-2022	Stonemasons	kirkby	stonemason.jpg	https://www.youtube.com/watch?v=h0C5f-NFcro
Carpenters	47	Construction and Extraction	Skilled Trades	47-2031	Carpenters	kirkby	carpenter.jpg	https://www.youtube.com/watch?v=zhvpjl5ixSw
Electricians	47	Construction and Extraction	Skilled Trades	47-2111	Electricians	kirkby	electrician.jpg	https://www.youtube.com/watch?v=P0cnETpeSsQ
Plumbers, Pipefitters, and Steamfitters	47	Construction and Extraction	Skilled Trades	47-2152	Plumbers, Pipefitters, and Steamfitters	kirkby	pipefitter.jpg	https://www.youtube.com/watch?v=AvaN2chGcCI
Automotive Body and Related Repairers	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-3021	Automotive Body and Related Repairers	kirkby	body_repair.jpg	https://www.youtube.com/watch?v=uXAJ6yKURBA&t=66s
Automotive Glass Installers and Repairers	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-3022	Automotive Glass Installers and Repairers	kirkby	auto_glass_install.jpg	https://www.youtube.com/watch?v=91nyzsphUX8
Automotive Service Technicians and Mechanics	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-3023	Automotive Service Technicians and Mechanics	kirkby	auto_service_tech.jpg	https://www.youtube.com/watch?v=vDMfNcs2ww4
Bus and Truck Mechanics and Diesel Engine Specialists	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-3031	Bus and Truck Mechanics and Diesel Engine Specialists	kirkby	bus_mechanic.jpg	https://www.youtube.com/watch?v=YtZpqfHuuDk
Farm Equipment Mechanics and Service Technicians	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-3041	Farm Equipment Mechanics and Service Technicians	kirkby	arm_equipment_repair.jpg	https://www.youtube.com/watch?v=Qwf0mFqyoUo
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-9021	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	kirkby	hvac_repair.jpg	https://www.youtube.com/watch?v=9L3CVgoEhas
Industrial Machinery Mechanics	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-9041	Industrial Machinery Mechanics	kirkby	industrial_machinery_mechanic.jpg	https://www.youtube.com/watch?v=nIiKjr9BJrI
Millwrights	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-9044	Millwrights	kirkby	millwright.jpg	https://www.youtube.com/watch?v=2FzRDASy9EE
Maintenance and Repair Workers, General	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-9071	Maintenance and Repair Workers, General	kirkby	heavy_equipment_maintenance.jpg	https://www.youtube.com/watch?v=LDwQvn1B0Sg
Wind Turbine Service Technicians	49	Installation, Maintenance, and Repair	Automotive / Diesel / Heavy Equipment	49-9081	Wind Turbine Service Technicians	kirkby	wind_turbine_service_tech.jpg	https://www.youtube.com/watch?v=xUjCD-fFU9k
Computer-Controlled Machine Tool Operators, Metal and Plastic	51	Production	Advanced Manufacturing	51-4011	Computer-Controlled Machine Tool Operators, Metal and Plastic	kirkby	cnc_operator.jpg	https://www.youtube.com/watch?v=pZ-kkiWj3i8
Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic	51	Production	Advanced Manufacturing	51-4012	Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic	kirkby	cnc_programmer.jpeg	https://www.youtube.com/watch?v=0uD6INGRnTE
Machinists	51	Production	Advanced Manufacturing	51-4041	Machinists	kirkby	machinist.jpg	https://www.youtube.com/watch?v=TecC9_nwpUw
Welders, Cutters, Solderers, and Brazers	51	Production	Advanced Manufacturing	51-4121	Welders, Cutters, Solderers, and Brazers	kirkby	welder.jpg	https://www.youtube.com/watch?v=rlOEBAIkmwg
Dietetic Technicians	29	Healthcare Practitioners and Technical	Health Care	29-2051	Dietetic Technicians	kirkby	dietetic_technicians.jpg	https://www.youtube.com/watch?v=kTNZ9WSJI1s
Architectural and Civil Drafters	17	Architecture and Engineering	Engineering	17-3011	Architectural and Civil Drafters	kirkby	architectural_drafting.jpg	https://www.youtube.com/watch?v=Fp53wDk8oNg
Team Assemblers	51	Production	Advanced Manufacturing	51-2092	Team Assemblers	kirkby	team_assembler.jpg	https://www.youtube.com/watch?v=Cxvhpt5gQK0
